chrom	locus	3D_x	3D_y	3D_z
11	3650000	185.547	40.546	63.817

2	164900000	119.616	148.810	15.505

11	550000	192.663	73.763	134.403

2	205400000	123.118	59.442	11.611

3	175750000	120.892	158.494	110.075

14	106786378	81.724	147.079	61.465

4	140200000	127.058	137.008	29.712

20	25750000	19.199	129.453	169.238

6	69000000	30.187	136.398	152.675

10	21350000	36.317	203.003	66.313

7	99800000	191.077	112.745	98.342

2	198500000	74.423	82.718	14.086

2	107600000	145.529	163.054	118.302

10	128250000	114.029	22.520	167.487

6	104350000	129.847	146.507	206.900

20	46600000	114.783	33.068	164.912

4	13350000	43.523	81.599	167.634

6	44850000	29.105	126.343	60.304

9	124650000	22.451	55.335	133.199

2	122200000	164.172	230.248	85.029

4	165050000	33.799	145.236	78.442

5	116450000	108.295	178.976	30.446

14	87800000	-2.993	73.860	86.015

4	92500000	200.027	183.672	119.768

2	111450000	149.767	181.478	115.762

9	97950000	44.587	123.187	135.087

14	77750000	31.159	91.802	120.350

21	47577850	94.509	154.760	165.200

2	204600000	112.147	56.983	10.413

14	15300000	104.741	139.222	73.501

16	62900000	60.563	184.413	54.273

7	89000000	133.522	128.244	222.905

1	240650000	124.641	63.778	31.376

2	178200000	171.668	134.840	39.118

8	78600000	178.035	171.967	179.102

4	78950000	170.572	64.088	68.733

13	40600000	98.278	83.593	24.493

10	131150000	132.343	33.534	177.257

10	93850000	34.237	-1.109	37.755

1	73100000	216.838	116.887	57.154

1	186700000	177.628	11.553	148.202

11	94550000	80.634	154.125	133.974

13	37100000	154.004	51.893	38.936

1	66800000	139.002	164.736	74.220

2	39450000	103.362	61.960	166.384

18	17100000	59.183	112.753	33.893

11	32700000	15.649	48.777	65.572

7	131600000	180.458	34.045	126.915

8	105800000	145.016	157.574	71.358

8	111800000	113.308	209.563	74.196

6	170250000	149.714	62.189	48.409

8	46800000	107.048	75.737	143.432

5	111250000	144.364	176.440	85.754

4	133000000	65.904	205.373	56.606

11	71250000	198.638	122.530	47.058

2	37250000	109.499	66.068	147.703

8	109700000	133.466	196.836	91.436

4	104050000	175.031	177.858	77.474

6	59050000	68.140	109.478	124.048

5	79050000	43.095	119.711	123.804

18	45300000	93.536	-14.674	109.539

1	98200000	203.501	136.610	163.719

8	67450000	192.404	106.394	163.590

10	75950000	70.577	68.506	28.425

7	70500000	174.344	160.193	127.106

6	43100000	60.923	153.296	38.741

9	67450000	79.110	82.717	121.883

12	86250000	161.815	-20.554	109.597

1	52750000	69.893	153.330	50.876

12	8650000	37.551	159.188	110.790

17	60150000	127.555	166.444	152.507

3	129950000	68.768	92.125	-25.455

1	84850000	163.038	158.150	109.085

4	27100000	81.858	115.617	201.216

13	25850000	60.714	164.036	34.588

2	66250000	109.047	149.993	179.347

10	3300000	155.779	161.418	58.948

18	5700000	173.303	105.667	16.527

14	66600000	52.498	39.639	154.944

17	56300000	63.867	168.396	135.812

2	151600000	88.407	175.255	25.469

2	124450000	142.820	220.511	102.579

6	22900000	32.128	24.875	139.467

4	104950000	184.324	194.256	69.535

9	115600000	50.804	67.389	181.355

10	69900000	0.705	72.755	26.054

1	189300000	146.326	9.420	145.605

6	146850000	138.440	52.026	161.897

2	120100000	147.237	225.163	110.101

2	70150000	144.739	158.214	191.236

1	248766518	45.408	63.231	94.344

8	57300000	151.970	88.757	160.612

14	75400000	79.454	146.906	173.675

7	158907648	91.432	154.700	46.189

1	156100000	102.929	92.596	201.764

8	140050000	31.330	129.524	61.446

6	14300000	71.295	40.524	52.972

21	40550000	117.152	-5.453	132.737

2	167500000	102.529	130.484	71.810

3	189200000	82.483	193.960	130.635

12	130700000	70.596	30.258	14.271

4	92700000	200.521	182.279	123.328

9	63700000	69.795	138.647	81.638

3	73900000	188.173	4.245	80.824

7	87600000	116.654	119.523	202.396

18	57550000	5.463	71.709	192.373

3	31000000	89.666	56.815	106.582

9	73800000	49.047	90.285	87.718

6	97500000	121.583	181.334	170.067

14	39000000	166.735	11.871	109.784

1	78200000	190.361	170.042	88.691

3	76450000	192.403	10.399	61.276

2	220000000	203.156	53.758	24.811

12	27000000	74.715	100.267	181.386

2	17850000	56.399	56.064	129.281

4	47650000	118.458	105.432	150.235

3	48300000	8.715	26.047	15.019

8	61250000	201.875	77.752	160.477

7	125650000	69.340	23.040	176.959

15	30750000	160.793	119.745	161.437

4	84950000	187.636	111.848	68.764

3	137650000	66.956	133.857	-10.592

4	96200000	172.116	191.204	127.109

1	116600000	104.989	139.857	165.679

8	8450000	96.510	47.821	105.963

5	131400000	111.905	131.162	40.720

5	176450000	46.414	58.407	92.917

14	45700000	131.012	-0.211	54.928

4	182200000	30.972	62.526	35.040

4	32200000	106.522	98.117	215.782

13	24350000	91.289	154.555	24.615

16	49600000	129.764	148.948	-1.527

19	1000000	146.874	55.669	172.458

9	97000000	43.913	116.008	124.648

1	175250000	140.143	36.373	161.454

1	52550000	68.904	149.497	50.372

15	8350000	79.980	102.876	40.685

14	42450000	156.926	-18.518	87.011

11	52350000	48.430	102.655	86.425

15	92200000	89.672	76.521	-25.302

5	100900000	120.034	215.366	96.241

10	102400000	135.758	25.345	8.286

2	220450000	199.785	55.343	35.413

11	115700000	152.945	151.519	168.681

19	4400000	122.217	9.576	140.810

1	207500000	124.324	17.594	86.748

6	165550000	151.052	4.447	157.329

3	190250000	87.157	169.864	124.892

8	125100000	108.866	148.673	40.848

4	190945010	4.084	189.866	179.504

9	84050000	14.619	52.874	127.491

7	129950000	175.606	55.002	99.033

6	129150000	184.707	87.840	201.738

7	35200000	22.222	128.869	79.759

18	75550000	182.228	99.793	142.675

3	26400000	115.703	59.158	160.371

9	53250000	97.941	107.712	93.816

12	106250000	140.054	66.876	10.986

3	87450000	188.580	52.868	57.871

2	8350000	16.391	100.529	123.863

19	40950000	113.227	91.869	13.407

1	205150000	80.072	55.564	99.739

16	58200000	65.465	186.381	-4.599

6	124900000	174.143	113.785	208.838

18	38450000	176.627	14.840	100.411

6	41850000	45.712	142.639	30.909

14	84750000	-13.959	40.695	80.394

5	58250000	108.677	181.538	174.735

8	48850000	128.443	65.909	170.331

4	160600000	1.819	141.498	102.716

1	27150000	10.919	164.565	153.594

5	140600000	89.495	99.578	42.508

6	153100000	192.808	53.572	144.955

2	174250000	111.131	114.502	61.876

1	136610	62.686	66.919	85.775

3	88450000	140.987	73.530	99.303

5	157500000	169.273	76.691	74.217

15	27100000	131.985	155.689	171.391

13	88900000	75.915	81.822	217.858

9	72750000	69.437	96.151	88.769

1	115400000	106.398	147.295	180.600

9	93000000	46.373	144.262	141.856

10	20650000	28.086	207.960	65.723

6	68800000	29.880	137.069	156.911

8	36350000	76.623	50.472	193.799

8	10350000	78.844	22.404	77.848

6	14650000	71.161	44.246	46.172

3	116450000	189.870	135.092	-12.453

22	12700000	53.859	52.085	24.989

2	30350000	61.137	91.717	150.894

2	225700000	161.053	12.887	36.497

17	3200000	105.927	-17.530	100.375

5	90050000	52.358	172.796	84.657

2	86950000	147.501	126.841	118.740

18	7250000	167.973	77.136	12.055

14	67000000	55.541	50.146	153.294

5	19350000	60.717	92.867	182.058

21	44550000	161.122	101.874	174.207

9	74700000	49.966	76.937	79.114

3	38550000	71.361	43.990	76.401

19	49450000	136.055	-5.975	69.143

15	70100000	67.780	41.385	154.379

11	10200000	121.974	6.797	85.887

8	62200000	196.993	75.216	139.302

12	45350000	177.031	129.970	164.710

19	42400000	134.127	108.898	24.433

13	76500000	169.629	66.223	122.774

15	85050000	96.602	38.152	30.468

1	202800000	36.225	57.634	114.045

5	95350000	74.571	188.705	78.842

11	95500000	112.813	164.343	125.580

10	91550000	0.710	-5.949	82.417

13	99050000	82.358	151.157	147.225

6	308225	44.998	82.995	75.599

9	110400000	100.078	85.518	168.704

2	239800000	97.199	-9.384	145.693

16	72500000	68.130	183.072	105.490

10	4600000	151.801	140.354	32.601

20	37950000	38.896	60.921	161.948

16	11550000	119.221	-13.175	106.194

4	148550000	77.200	151.059	12.742

14	40400000	178.299	1.920	77.478

4	148000000	91.857	137.909	6.427

1	248994962	28.016	58.700	95.336

22	26000000	217.352	86.260	100.321

9	97450000	41.851	117.765	130.123

8	94700000	172.395	160.153	99.569

4	66100000	181.416	154.271	168.526

18	38650000	174.986	11.817	96.052

16	73600000	108.792	205.993	87.207

1	145050000	66.038	109.337	143.924

2	53350000	143.125	83.408	147.831

22	26650000	215.559	104.575	86.888

16	68450000	10.669	134.004	119.082

15	6250000	156.710	53.450	117.485

11	33050000	25.830	46.616	57.022

12	111500000	116.838	147.988	29.883

7	124950000	84.239	15.889	177.281

10	22850000	69.344	178.700	62.068

3	147150000	159.757	152.974	31.349

9	18100000	131.133	178.518	86.831

10	129900000	117.196	8.293	185.931

1	10750000	-15.698	100.535	93.965

6	154200000	182.213	40.097	157.936

2	9500000	41.709	86.291	112.345

12	92200000	170.691	41.826	39.076

20	46300000	119.601	27.758	157.948

13	34050000	131.101	28.920	16.539

10	66150000	-21.085	82.538	36.955

12	51150000	116.790	173.204	88.073

6	99150000	138.658	188.899	166.795

12	116450000	105.902	108.440	-8.361

15	59850000	57.452	133.676	172.090

6	86350000	81.232	188.758	129.534

11	107750000	48.780	127.207	193.765

2	23650000	29.415	126.812	143.386

8	51850000	120.688	87.547	223.738

3	182800000	34.273	153.478	57.223

3	57400000	74.421	-19.997	62.851

6	169550000	175.148	26.877	51.043

3	20500000	135.073	76.158	128.263

13	75600000	169.277	45.488	123.935

15	71550000	34.671	52.099	165.380

15	4700000	89.388	127.049	165.795

2	233950000	187.150	30.708	101.234

10	82100000	41.413	61.868	77.130

14	4750000	92.109	90.983	148.129

12	37000000	171.318	30.796	157.649

10	98550000	95.067	19.962	-5.233

21	7100000	95.345	104.520	149.271

2	117000000	150.835	209.144	117.805

8	53650000	111.427	99.217	207.122

22	19750000	135.921	-11.276	99.958

10	76900000	43.873	56.622	28.461

20	6100000	132.592	195.987	43.941

7	56278	139.753	53.285	57.634

16	6800000	139.898	6.459	58.834

1	103900000	173.994	138.673	195.882

7	104150000	192.359	91.384	99.488

12	129250000	76.814	10.969	27.777

9	100200000	64.942	108.440	160.160

1	200050000	42.740	33.972	126.864

5	179250000	22.793	67.081	74.698

1	177400000	82.674	38.012	158.261

3	91450000	72.495	52.528	93.636

16	72450000	67.133	180.939	106.854

12	118100000	79.668	97.033	3.295

7	86350000	99.019	124.884	208.655

7	20750000	48.184	178.180	60.919

1	26350000	14.947	148.020	150.528

16	10650000	104.261	-16.567	104.429

9	22900000	76.511	115.870	8.107

21	46550000	160.020	117.713	144.615

11	28100000	6.219	33.958	98.963

10	16150000	114.519	187.483	50.893

9	139850000	103.564	93.225	9.767

8	67150000	190.081	108.632	174.707

14	47750000	100.882	-15.005	43.450

3	100850000	190.242	66.141	9.622

2	46900000	125.582	61.102	178.215

4	124950000	80.604	191.395	109.473

21	18850000	37.604	126.623	13.826

4	57050000	185.818	84.364	147.988

14	99350000	37.749	157.891	59.514

13	31250000	84.893	78.529	2.797

13	79900000	134.928	59.007	163.751

12	105300000	131.991	60.237	19.843

7	98300000	201.192	108.795	133.370

5	171250000	104.824	37.630	54.951

9	64400000	89.315	157.665	62.029

8	144300000	131.280	73.543	-33.138

16	4750000	172.445	19.964	75.936

7	24900000	109.572	131.785	15.942

6	105900000	136.861	160.680	141.839

2	150500000	93.236	172.598	52.230

21	21400000	76.327	73.930	-7.220

3	108050000	189.230	94.298	-19.592

16	42950000	120.590	77.160	146.885

1	118650000	125.275	124.656	161.074

6	156000000	179.235	40.487	120.050

9	30700000	-17.739	119.281	117.156

9	7850000	136.704	139.092	170.182

19	28850000	101.460	197.884	72.408

2	144650000	80.850	211.256	43.324

1	195850000	110.735	9.494	112.956

2	182750000	177.988	140.146	18.681

7	87800000	117.029	118.965	207.470

14	76800000	45.662	119.152	147.897

1	38600000	34.603	164.215	114.099

3	71350000	154.682	-9.693	70.964

3	114500000	167.715	117.749	-15.993

4	125450000	74.631	191.790	107.600

8	71700000	161.727	133.330	178.651

8	66150000	175.655	110.341	203.380

12	128300000	61.678	8.288	50.687

11	111950000	98.627	149.874	188.766

16	34250000	134.930	68.138	24.072

9	6850000	150.357	125.967	155.229

5	63100000	100.784	195.071	157.917

12	85350000	180.642	-17.294	103.909

5	81900000	53.170	152.778	118.464

17	79000000	146.575	156.221	54.628

5	151550000	153.746	84.420	38.042

20	1650000	91.104	51.467	10.183

22	19450000	127.526	0.811	95.136

11	4150000	179.602	44.077	55.905

17	76700000	142.188	149.938	81.279

5	55100000	71.810	145.691	160.338

9	2100000	166.597	124.201	97.644

2	172050000	73.933	128.444	59.304

9	140700321	94.710	88.201	24.580

13	63200000	29.544	-3.056	126.078

16	22800000	37.355	1.047	89.441

5	126450000	162.929	135.970	60.580

18	50000000	85.030	2.205	149.947

9	38550000	87.916	64.181	112.133

8	72850000	162.790	146.306	180.333

14	4050000	167.424	62.658	172.969

12	129150000	75.229	10.417	29.833

5	52700000	107.732	166.349	187.885

8	16850000	55.843	5.006	146.654

15	97650000	116.431	32.329	33.457

8	81900000	170.439	151.069	130.948

2	186100000	152.041	114.215	-2.000

5	9050000	101.014	53.870	182.265

15	55000000	40.326	171.602	90.515

2	57050000	175.986	78.957	152.089

1	140050000	110.786	34.716	39.919

13	86850000	62.882	72.222	198.190

3	22150000	112.477	68.343	130.987

16	88300000	96.310	48.238	86.328

7	140100000	146.237	23.581	116.870

1	244200000	93.003	74.650	36.513

11	96950000	108.536	176.477	135.929

15	101100000	134.429	70.679	103.926

19	8850000	58.028	49.804	162.335

9	101500000	54.587	77.342	164.572

14	42000000	160.079	-14.450	93.666

1	134600000	102.092	84.847	137.725

4	62500000	211.381	128.523	166.153

7	105950000	186.288	84.425	123.644

21	3450000	79.531	123.352	18.742

8	76050000	199.707	141.285	149.358

19	49750000	130.829	-11.186	62.455

22	3950000	142.653	58.561	136.096

16	44550000	24.999	94.880	26.039

3	72750000	157.236	22.212	75.347

14	99850000	48.049	174.546	82.613

6	42200000	53.199	147.968	30.750

8	126750000	118.249	121.771	26.515

4	175450000	51.793	84.789	24.775

19	42700000	141.516	107.745	19.470

9	28750000	123.280	52.756	9.112

20	24500000	39.073	123.915	109.645

2	4600000	44.107	73.622	75.393

12	46700000	161.052	139.311	148.049

14	33200000	186.057	56.024	152.981

2	130750000	154.265	185.875	74.298

5	42500000	153.405	128.386	165.668

9	20400000	102.468	185.998	80.571

1	181400000	94.950	27.752	137.609

20	43500000	134.968	0.428	137.224

2	174800000	119.204	115.122	66.396

3	65650000	156.897	20.901	66.925

11	78400000	132.619	163.062	74.517

21	8400000	41.430	77.214	92.233

15	67350000	77.255	67.203	179.870

20	12400000	32.828	141.570	30.168

17	36450000	22.477	131.653	94.906

11	19400000	97.998	35.026	43.694

16	5400000	165.610	18.930	60.228

1	172750000	107.528	47.811	155.904

8	17400000	63.683	-0.877	141.686

14	16850000	47.608	118.616	33.364

13	112050000	98.451	190.266	126.185

6	61150000	64.027	56.758	61.898

1	241450000	109.743	68.267	24.097

14	106857973	81.324	145.243	62.151

13	7550000	65.019	65.573	38.578

5	46600000	149.965	134.216	155.580

8	102300000	184.553	105.494	44.447

4	73750000	194.024	89.496	113.861

8	43650000	130.552	69.878	142.363

3	12450000	47.513	84.933	97.529

17	33600000	16.864	73.976	81.096

8	12000000	103.068	29.461	81.231

14	79550000	20.760	70.823	36.735

17	37400000	44.974	133.749	101.561

14	26000000	187.177	83.619	37.083

5	1600000	78.177	65.041	121.938

2	44000000	73.422	128.147	180.019

6	7950000	75.762	7.615	84.920

2	94600000	102.510	165.086	144.250

12	103350000	135.047	17.807	40.331

2	182700000	178.007	139.433	19.372

10	54000000	-6.845	115.935	116.857

13	40050000	113.361	73.374	17.025

9	138500000	69.422	93.960	11.839

3	167500000	109.327	198.791	71.994

9	3750000	180.634	121.644	129.863

8	123250000	53.117	180.369	87.902

7	82350000	123.682	162.098	213.133

22	41650000	38.496	183.720	120.666

9	122400000	82.974	33.988	135.874

5	160150000	151.855	59.389	65.275

18	55150000	0.042	52.935	157.497

16	28800000	31.036	48.899	116.631

11	49000000	81.623	102.788	39.927

8	12300000	102.291	34.246	89.671

5	44100000	135.680	127.814	165.352

9	98050000	45.682	123.723	135.817

3	180000000	97.807	182.938	124.748

8	133200000	55.588	169.877	50.493

6	42900000	61.770	153.184	37.291

11	46050000	74.381	90.251	9.495

10	46750000	58.372	102.690	66.976

20	11550000	50.845	156.342	24.624

3	192300000	50.209	170.579	109.973

19	32550000	75.420	154.548	30.887

19	57300000	82.678	50.226	67.032

6	15400000	64.270	51.584	45.726

8	80250000	179.810	178.966	158.366

7	77300000	140.120	137.324	143.942

10	124100000	167.665	11.640	105.094

2	67200000	92.914	157.968	190.661

2	161450000	135.539	183.502	8.453

9	35200000	137.242	2.523	94.847

8	52650000	105.707	92.323	218.021

1	99800000	157.026	139.819	150.340

16	71400000	45.498	155.643	126.907

6	40500000	35.157	119.869	36.958

14	58100000	65.419	39.530	69.862

14	243586	93.226	125.403	105.438

3	121150000	105.210	78.549	-39.440

1	14050000	25.171	118.807	79.007

2	108750000	134.996	157.787	119.411

18	41350000	89.856	-16.007	80.809

6	13950000	72.216	36.693	60.336

20	20200000	63.037	186.306	124.124

10	130950000	128.771	31.772	177.945

5	42800000	147.720	131.275	166.045

8	27700000	142.862	6.816	105.840

12	84800000	180.006	-9.782	101.942

15	73150000	8.669	81.044	140.268

18	28450000	11.773	73.752	77.807

16	70000000	19.685	167.991	109.115

3	15950000	106.289	92.253	148.368

6	13250000	76.664	29.243	75.515

16	650000	160.966	49.784	171.006

16	71300000	43.410	155.148	127.578

5	13400000	143.039	64.829	177.844

3	194500000	37.788	132.934	56.690

19	11450000	30.801	67.853	116.380

17	34100000	14.667	82.420	90.571

1	237150000	147.312	36.414	18.984

6	101300000	128.404	160.276	160.856

16	21600000	30.552	8.736	116.260

16	74650000	118.947	199.241	100.992

16	11900000	126.572	-7.560	112.288

1	168150000	160.568	61.373	163.680

8	42300000	162.801	37.728	125.373

6	10050000	75.754	16.763	136.699

22	50983029	100.699	169.915	35.078

12	66850000	207.483	94.745	91.555

20	38650000	46.851	58.042	178.424

1	48050000	125.679	130.104	51.880

14	27000000	190.093	93.584	44.064

2	91450000	98.087	114.091	91.097

11	38900000	-3.970	65.811	36.635

12	63550000	187.329	87.232	129.890

2	201450000	69.574	57.787	33.677

20	55750000	156.963	80.480	180.869

5	16550000	94.025	79.436	185.241

13	17700000	82.825	103.940	85.901

15	69700000	79.295	39.917	151.771

17	66950000	86.057	138.790	171.632

22	24250000	206.545	31.189	83.403

15	55850000	28.433	154.154	97.943

18	3550000	173.360	115.179	43.175

13	91850000	84.390	90.216	165.372

8	13800000	65.637	36.147	145.037

3	23900000	126.578	60.847	159.197

5	99000000	114.951	184.626	111.234

14	64500000	62.745	41.853	149.834

1	115600000	105.997	143.894	179.659

11	71000000	199.942	116.226	48.738

6	42650000	60.527	152.176	34.924

7	23850000	115.421	137.610	35.216

11	25950000	-2.858	24.041	122.287

7	37200000	41.610	106.846	60.018

2	146800000	101.411	182.724	59.841

9	95800000	59.111	129.922	110.451

2	149950000	96.691	171.425	59.543

3	40950000	49.859	56.981	54.990

5	54200000	76.053	137.032	167.281

5	111350000	142.935	176.265	84.487

13	76350000	171.091	63.054	122.565

18	31950000	23.915	110.982	98.635

2	121250000	169.518	232.572	101.759

7	5950000	167.550	140.456	32.658

3	105700000	180.868	64.088	-4.481

3	193800000	27.136	150.158	76.072

5	155950000	190.772	93.239	83.907

13	89750000	94.791	89.949	180.787

11	119000000	185.197	115.992	125.778

21	30150000	2.334	36.651	120.217

4	63150000	202.182	137.653	170.083

4	164650000	31.494	143.843	81.602

18	68700000	162.300	94.407	194.425

6	146000000	144.650	45.596	172.933

22	33050000	179.389	169.333	78.069

5	27250000	81.205	121.371	201.332

1	180800000	85.568	28.286	140.731

1	153700000	29.809	84.751	200.232

7	38200000	28.742	88.375	71.422

11	9900000	113.320	3.727	91.593

9	130000000	19.007	65.492	62.735

20	32000000	104.345	4.533	80.965

1	131550000	111.431	157.833	84.416

11	29450000	16.319	25.414	66.364

8	140100000	32.274	128.096	60.787

11	72250000	193.604	131.817	52.503

21	47300000	127.389	167.283	146.062

5	45650000	162.522	137.873	180.776

1	97150000	210.059	126.374	152.361

14	20850000	160.422	132.378	106.813

12	52700000	126.188	187.723	73.408

12	67750000	206.083	108.953	86.287

18	30050000	8.494	90.830	91.019

19	53450000	79.755	3.935	54.981

11	47050000	101.196	86.795	8.659

17	19700000	138.643	113.840	27.756

2	96600000	104.579	191.723	161.937

10	41300000	135.202	99.255	94.758

2	167300000	105.483	130.889	68.116

11	6800000	134.899	27.321	100.367

8	42800000	156.104	47.957	128.396

15	8700000	59.568	99.335	58.039

10	33250000	83.584	156.509	120.375

6	66100000	25.244	118.646	201.225

3	148450000	123.737	148.430	22.269

1	158050000	70.811	70.362	191.371

17	80552938	155.454	148.203	30.639

14	50900000	118.689	28.504	77.307

15	101532396	148.893	65.527	113.928

8	127100000	113.101	122.118	27.174

7	71200000	168.821	154.817	115.372

8	137900000	10.305	151.056	88.613

9	102550000	58.523	51.414	157.469

11	85600000	29.279	186.754	107.923

18	3250000	166.574	121.133	36.569

20	56600000	168.811	99.968	182.776

3	79300000	187.203	16.647	97.855

9	48400000	101.749	126.486	144.210

2	52700000	131.998	87.549	158.329

7	66900000	139.077	146.156	122.462

1	174600000	131.062	33.872	162.670

5	70350000	96.007	124.140	119.911

4	29500000	85.242	101.474	227.853

10	121450000	148.952	-3.204	73.833

5	7750000	98.663	40.489	160.489

13	61050000	75.293	-13.488	116.493

5	41200000	155.204	112.363	170.668

7	51900000	26.861	174.197	142.731

14	31000000	191.815	79.159	119.296

2	31700000	87.849	51.742	150.279

21	1200000	33.358	121.511	71.147

2	206500000	145.615	59.124	12.916

2	125500000	98.014	215.614	114.403

20	33150000	84.433	-5.903	98.846

12	118950000	86.132	96.214	14.910

2	149650000	101.274	173.378	56.691

8	55700000	126.020	95.570	185.933

18	71450000	136.848	124.597	143.939

5	134800000	60.466	125.538	66.496

11	13050000	137.952	8.015	45.784

9	80050000	25.292	65.949	108.711

7	28200000	105.140	104.687	12.816

4	186350000	96.971	53.830	30.536

4	17950000	53.260	124.366	181.183

2	71150000	139.026	149.576	184.809

6	48400000	25.642	79.386	125.929

2	239150000	118.534	-9.391	151.035

10	40600000	123.210	115.831	137.349

12	58750000	193.405	83.015	149.583

4	163200000	-9.242	140.280	86.219

12	47350000	156.613	145.773	143.125

4	36850000	119.422	54.470	174.466

5	66700000	85.183	143.315	132.362

8	54550000	112.121	104.761	194.200

10	48500000	57.286	103.183	67.679

5	51900000	128.629	182.358	198.896

16	27950000	49.141	50.773	127.142

15	4950000	95.369	125.634	164.436

10	82950000	17.014	54.973	91.119

16	17050000	82.328	25.575	131.169

15	2850000	86.454	125.955	142.143

11	134646936	100.865	76.793	190.234

2	219850000	203.573	51.999	21.359

9	25200000	-5.112	65.573	68.754

11	106650000	28.100	130.496	196.634

4	142050000	109.341	153.612	8.486

4	29050000	84.634	111.718	227.168

18	77749571	127.822	55.570	118.344

11	130350000	105.305	84.250	212.922

22	33400000	187.390	171.100	97.342

1	214200000	166.106	8.304	63.856

2	104350000	180.977	172.905	121.634

9	900000	114.103	84.932	87.753

3	83450000	194.433	45.870	73.673

1	135600000	179.052	169.564	90.277

12	44450000	183.604	119.099	184.329

2	130650000	153.529	184.022	74.996

15	17950000	142.808	96.970	100.314

15	69050000	97.908	40.268	153.571

2	202900000	84.846	51.973	16.048

3	45050000	21.048	65.360	60.512

4	61350000	211.526	107.121	165.573

14	21600000	168.902	139.920	123.392

10	31250000	98.394	161.924	104.913

18	65150000	120.026	51.419	201.089

8	75550000	199.677	132.054	135.970

9	132300000	67.913	68.390	66.692

16	33000000	108.992	85.901	1.589

17	7150000	187.711	12.334	132.352

1	23000000	2.336	111.457	152.657

4	8600000	74.924	38.274	143.555

6	114550000	181.598	164.739	148.951
